especie	corrida	temp	PEL	veloc	acel	sexo	CRC	CC	BC
A_ameiva	2	33.4	1497	2.73E-02	2.33E-01	I	53	112	112
A_ameiva	2	33.4	1497	0.00E+00	4.67E-01	I	53	112	112
A_ameiva	2	33.4	1497	0.00E+00	0.00E+00	I	53	112	112
A_ameiva	2	33.4	1497	0.00E+00	0.00E+00	I	53	112	112
A_ameiva	2	33.4	1497	0.00E+00	2.51E+00	I	53	112	112
A_ameiva	2	33.4	1497	1.47E-01	4.53E+00	I	53	112	112
A_ameiva	2	33.4	1497	3.38E-01	1.81E+01	I	53	112	112
A_ameiva	1	28.4	01669	NA	NA	M	106	246	246
A_ameiva	1	28.4	01669	9.30E-01	NA	M	106	246	246
A_ameiva	1	28.4	01669	5.05E-01	9.68E+00	M	106	246	246
A_ameiva	1	28.4	01669	2.94E-01	4.94E+00	M	106	246	246
A_ameiva	1	28.4	01669	3.07E-01	4.18E+00	M	106	246	246
A_ameiva	1	28.4	01669	4.07E-02	4.76E+00	M	106	246	246
A_ameiva	1	28.4	01669	6.97E-02	1.86E+00	M	106	246	246
A_ameiva	1	28.4	01669	2.86E-02	1.21E+00	M	106	246	246
A_ameiva	1	28.4	01669	6.40E-02	6.68E-01	M	106	246	246
A_ameiva	1	28.4	01669	6.40E-02	8.86E-01	M	106	246	246
A_ameiva	1	28.4	01669	1.28E-02	1.23E+00	M	106	246	246
A_ameiva	1	28.4	01669	4.62E-02	2.46E-01	M	106	246	246
A_ameiva	1	28.4	01669	2.56E-02	1.12E+00	M	106	246	246
A_ameiva	1	28.4	01669	4.04E-02	2.71E+00	M	106	246	246
A_ameiva	1	28.4	01669	1.49E-01	4.36E+00	M	106	246	246
A_ameiva	1	28.4	01669	3.26E-01	3.05E+00	M	106	246	246
A_ameiva	1	28.4	01669	3.62E-01	3.02E+00	M	106	246	246
A_ameiva	1	28.4	01669	4.29E-01	2.81E+00	M	106	246	246
A_ameiva	1	28.4	01669	4.55E-01	2.47E+00	M	106	246	246
A_ameiva	1	28.4	01669	2.59E-01	3.19E+00	M	106	246	246
A_ameiva	1	28.4	01669	2.05E-01	5.92E-01	M	106	246	246
A_ameiva	1	28.4	01669	3.21E-01	2.83E+00	M	106	246	246
A_ameiva	1	28.4	01669	3.77E-01	2.97E+00	M	106	246	246
A_ameiva	1	28.4	01669	2.70E-01	2.48E+00	M	106	246	246
A_ameiva	1	28.4	01669	1.74E-01	3.90E+00	M	106	246	246
A_ameiva	1	28.4	01669	1.62E-01	7.48E+00	M	106	246	246
A_ameiva	1	28.4	01669	5.58E-01	1.53E+01	M	106	246	246
A_ameiva	1	28.4	01669	1.24E+00	1.92E+01	M	106	246	246
A_ameiva	1	28.4	01669	1.67E+00	9.01E+00	M	106	246	246
A_ameiva	1	28.4	01669	1.88E+00	9.32E-01	M	106	246	246
A_ameiva	1	28.4	01669	1.69E+00	9.24E+00	M	106	246	246
A_ameiva	1	28.4	01669	1.28E+00	1.32E+01	M	106	246	246
